     yr     mth    dy        x              y             z     
    ____    ___    __    __________    ___________    __________

    1997    10     16       0.60012        -0.7935       0.10106
    1997    10     17       0.61262       -0.78411       0.09932
    1997    10     18       0.62351       -0.77548       0.09932
    1997    10     19       0.63572       -0.76573      0.097583
    1997    10     20       0.64767       -0.75565      0.097583
    1997    10     21       0.65957       -0.74551      0.095846
    1997    10     22        0.6712       -0.73506      0.095846
    1997    10     23        0.6896       -0.73179      0.095049
    1997    10     24       0.69975       -0.72209      0.095049
    1997    10     25       0.71112       -0.71112      0.093294
    1997    10     26       0.72221       -0.69987      0.093294
    1997    10     27       0.73323       -0.68855      0.091539
    1997    10     28       0.74289       -0.67835      0.089783
    1997    10     29       0.75345        -0.6666      0.089783
    1997    10     30       0.76395       -0.65478      0.088027
    1997    10     31       0.77313       -0.64415      0.086271
    1997    11      1       0.78315       -0.63192      0.086271
    1997    11      2        0.7931       -0.61964      0.084515
    1997    11      3       0.80179       -0.60859      0.082758
    1997    11      4       0.81125       -0.59592      0.082758
    1997    11      5       0.82063       -0.58319      0.081001
    1997    11      6        0.8288       -0.57175      0.079244
    1997    11      7       0.83768       -0.55867      0.079244
    1997    11      8       0.84647       -0.54551      0.077486
    1997    11      9       0.85412       -0.53371      0.075729
    1997    11     10       0.86251        -0.5203      0.073971
    1997    11     11       0.87057       -0.50669      0.073971
    1997    11     12       0.87767       -0.49454      0.072212
    1997    11     13       0.88544       -0.48076      0.070454
    1997    11     14       0.89299       -0.46685      0.068695
    1997    11     15       0.89953       -0.45439      0.066937
    1997    11     16       0.90656        -0.4402      0.066937
    1997    11     17       0.91346       -0.42595      0.065178
    1997    11     18       0.91942       -0.41321      0.063418
    1997    11     19        0.9259       -0.39876      0.061659
    1997    11     20       0.93215        -0.3842      0.059899
    1997    11     21       0.92887       -0.36589      0.057564
    1997    11     22       0.93399       -0.35292      0.055822
    1997    11     23       0.93941       -0.33821      0.055822
    1997    11     24        0.9447       -0.32344      0.054079
    1997    11     25       0.94975       -0.30859      0.052336
    1997    11     26       0.95457       -0.29366      0.050593
    1997    11     27       0.95866       -0.28033       0.04885
    1997    11     28       0.96303       -0.26526      0.047106
    1997    11     29       0.96715       -0.25012      0.045363
    1997    11     30       0.96133       -0.23257      0.043183
    1997    12      1       0.96493       -0.21746      0.041457
    1997    12      2        0.9683       -0.20229       0.03973
    1997    12      3       0.97142       -0.18707      0.038004
    1997    12      4        0.9743        -0.1718      0.036277
    1997    12      5       0.97694       -0.15648      0.034551
    1997    12      6       0.97934       -0.14113      0.032824
    1997    12      7       0.97158       -0.12446      0.030783
    1997    12      8       0.97346       -0.10919      0.029073
    1997    12      9       0.97511      -0.093892      0.027363
    1997    12     10       0.97651      -0.078568      0.025653
    1997    12     11       0.97777      -0.061516      0.023944
    1997    12     12       0.96867      -0.045681      0.022007
    1997    12     13       0.96931      -0.030462      0.020314
    1997    12     14       0.96973      -0.013541      0.018622
    1997    12     15       0.96985      0.0016927      0.016929
    1997    12     16       0.96973       0.016927      0.015236
    1997    12     17       0.95932         0.0335      0.013404
    1997    12     18        0.9587       0.048566      0.011728
    1997    12     19       0.95772       0.065291      0.010053
